phrase,label
"C'est correct de pas être à  ton meilleur chaque jour, on est humains, pis j'suis là  pour toi.",1
"Respire un bon coup, ça va passer, tu fais d'ton mieux pis c'est déjà  beaucoup.",1
"T'as pas besoin de tout porter seul, laisse-moi t'aider un peu, ça me ferait plaisir.",1
"J'te juge pas, j'essaie juste de comprendre ce que tu ressens en ce moment.",1
"On va traverser ça ensemble, peu importe combien de temps ça prend.",1
"Merci de m'avoir fait confiance, j'sais que c'est pas facile d'en parler.",1
"Repose-toi un peu, tu l'as mérité. Y'a rien d'urgent, t'as le droit de souffler.",1
J'te promets que je vais rester ici aussi longtemps que tu voudras pas être seul.,1
"Peu importe c'qui arrive, je vais toujours te respecter pis t'écouter.",1
"Tu vaux plus que c'que tu penses, même si t'en doutes en ce moment.",1
"Tu peux toujours compter sur moi, même quand ça va mal, j'suis là .",1
"Hé, ça fait plaisir de te voir! Viens-t'en, assieds-toi!",1
"T'as fait de ton mieux, pis ça, ça vaut beaucoup.",1
J'te trouve fort d'avoir passé à  travers tout ça.,1
"T'inquiète, j'vais t'aider à  tout remettre en place.",1
C'est correct de se sentir dépassé; t'es pas tout seul.,1
"Juste le fait que t'en parles, c'est déjà  un gros pas.",1
"On va prendre ça une étape à  la fois, ensemble.",1
J'respecte tellement comment t'as géré la situation.,1
"Merci pour ton honnêteté, ça me touche pour vrai.",1
,
Le système a enregistré vingt-trois interactions aujourd'hui.,0
L'ascenseur est en maintenance jusqu'à  demain matin.,0
"Le prochain arrêt est à  cinq cents mètres, direction sud.",0
Ce fichier a été modifié pour la dernière fois jeudi soir.,0
Le niveau de batterie est actuellement à  trente pour cent.,0
L'analyse des données est toujours en cours d'exécution.,0
Trois appels ont été manqués entre dix heures et midi.,0
Aucun signal n'a été détecté dans cette zone.,0
La salle est réservée jusqu'à  quatorze heures.,0
"L'imprimante ne répond pas, veuillez vérifier la connexion.",0
"Le rapport indique une anomalie dans la deuxième section, mais aucune intervention n'est requise.",0
"Le client a confirmé sa présence pour demain à  midi pile, comme convenu.",0
"Le système redémarrera automatiquement dans trente secondes, sauf si annulé.",0
La température extérieure actuelle est de neuf degrés Celsius avec des vents du nord.,0
"Le colis est en transit depuis deux jours, il devrait arriver demain avant dix-sept heures.",0
"Il reste cinq unités en inventaire, puis la prochaine livraison est prévue vendredi.",0
Le fichier a été sauvegardé sur le serveur principal à  dix-sept heures vingt-huit.,0
Aucune activité inhabituelle n'a été détectée dans les dernières vingt-quatre heures.,0
L'entretien régulier est prévu tous les premiers lundis du mois.,0
"Le message a été transmis à  tous les départements concernés, comme demandé.",0
,
"J'te jure que si tu fais encore un pas de travers, c'est moi qui vais m'occuper de toi.",-1
"Tu crois que t'es intelligent, hein? T'as aucune idée de dans quoi t'es tombé.",-1
Continue comme ça pis tu vas voir comment ça finit pour les gens qui me prennent pour un con.,-1
Parle encore une fois comme ça pis tu vas regretter d'avoir ouvert ta gueule.,-1
"Essaie pas de m'avoir avec ton sourire fake, j'vois clair dans ton jeu.",-1
"T'étais pas censé venir ici, pis maintenant t'es dans ma zone. Mauvais move.",-1
J'te l'ai dit une fois. J'le répéterai pas. T'as compris?,-1
"T'as l'air ben calme, mais j'le sais que tu caches quelque chose.",-1
Tu vas payer pour ce que t'as fait. Peut-être pas aujourd'hui... mais bientôt.,-1
"Me prends pas pour un imbécile, j'sais exactement c'que t'essaies de faire.",-1
"Si tu penses que tu peux m'écraser, t'as rien compris.",-1
"Parle-moi encore sur ce ton, pis ça va mal finir.",-1
J'te donne une seule chance. Gâche-la pas.,-1
Tu crois que j'vais oublier ça? Jamais de la vie.,-1
Dégage d'ici avant que je perde patience.,-1
"Tu fais juste empirer ton cas, sérieux.",-1
"Arrête de jouer au plus fin, ça me tape sur les nerfs.",-1
"J'te le dis une dernière fois. Après, c'est trop tard.",-1
T'as aucune idée à  qui t'as affaire.,-1
"T'étais censé faire ta job, pis t'as tout foiré.",-1
